服务月数tenure,年龄age,婚姻状况marital,地址居住年数address,家庭收入income,受教育水平ed,现职位工作年数employ,是否退休retire,性别gender,家庭人数reside,免费电话服务tollfree,设备租赁equip,电话卡服务callcard,无线服务wireless,上月长途longmon,上月免费电话tollmon,上月设备equipmon,上月电话卡cardmon,上月无线wiremon,多线路multline,语音邮件voice,寻呼服务pager,互联网internet,来电显示callid,呼叫等待callwait,呼叫转移forward,是否支持电话会议confer,是否支持电子凭证ebill,客户类别custcat,是否流失churn
13,44,已婚,9,64,大学学位,5,是,男,2,否,否,是,否,3.7,0,0,7.5,0,否,否,否,否,否,否,是,否,否,基础服务,是
11,33,已婚,7,136,研究生学位,5,是,男,6,是,否,是,是,4.4,20.75,0,15.25,35.7,否,是,是,否,是,是,是,是,否,总服务,是
68,52,已婚,24,NA,未完成中学学历,29,是,女,2,是,否,是,否,18.15,18,0,30.25,0,否,否,否,否,是,是,否,是,否,附加服务,否
33,33,未婚,12,33,中学学历,0,是,女,1,否,否,否,否,9.45,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,是
23,30,已婚,9,30,未完成中学学历,NA,NA,男,4,否,否,否,否,6.3,0,0,0,0,否,否,否,否,是,否,是,是,否,附加服务,否
41,39,未婚,17,78,中学学历,16,是,女,1,是,否,是,否,11.8,19.25,0,13.5,0,否,否,否,否,是,是,否,否,否,附加服务,否
45,22,已婚,2,19,中学学历,4,是,女,5,否,否,是,否,10.9,0,0,8.75,0,是,否,否,是,否,是,否,否,是,电子服务,是
38,35,未婚,5,76,中学学历,NA,是,男,3,是,是,是,是,6.05,45,50.1,23.25,64.9,是,是,是,是,是,是,是,是,是,总服务,否
45,59,已婚,7,166,大学学位,31,是,男,5,是,否,是,否,9.75,28.5,0,12,0,是,否,否,否,是,是,是,是,否,附加服务,否
68,41,已婚,21,72,未完成中学学历,22,是,男,3,否,否,是,否,24.15,0,0,16.5,0,是,否,否,否,否,否,否,否,否,电子服务,否
5,NA,未婚,10,125,大学学位,5,是,女,1,否,是,否,否,4.85,0,26.15,0,0,否,否,是,是,否,否,否,否,是,基础服务,是
7,35,未婚,14,80,中学学历,15,是,女,1,是,否,是,否,7.1,22,0,23.75,0,否,是,否,否,是,是,是,是,否,附加服务,否
41,38,已婚,8,37,中学学历,9,是,女,3,否,否,是,否,8.55,0,0,41.75,0,否,否,否,否,否,否,否,否,否,基础服务,否
57,54,已婚,30,NA,大学学位,23,是,女,3,是,是,否,是,15.6,46.25,46.7,0,61.05,是,是,是,是,是,是,是,是,是,总服务,是
9,46,未婚,3,25,未完成中学学历,NA,NA,女,2,否,否,否,否,4.4,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
29,38,已婚,12,75,研究生学位,1,是,男,4,否,是,是,否,5.1,0,30.25,11.25,0,是,否,否,是,否,否,否,否,否,电子服务,否
